strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100050407,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050408,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050409,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010101,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010102,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010103,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010104,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010105,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010106,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010202,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010203,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010204,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010205,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010207,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010208,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010209,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010210,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010301,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010302,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010303,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010304,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010305,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010306,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010307,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010308,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010401,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010402,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010403,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010404,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010501,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010502,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010503,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010504,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010505,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010506,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010507,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010508,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010509,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010601,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
